,Step,Reward,ENV,ACTION-BUFFER-SIZE,PROJECTION,EXPLORE,K_EXP,K_ACT,DISCOUNT,EPSILON,EPS-DECAY,STATE-DIM,STICKY-ACTIONS,FRAMESTACK,CLIP-REWARD,M,TIME-SIG,SEED,simple,rainbow,human,random,normalized_reward
145,45000,524.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3,405.2,739.9,6875.4,227.8,0.04455743426198929
146,47500,588.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3,405.2,739.9,6875.4,227.8,0.05418496901137253
147,50000,548.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3,405.2,739.9,6875.4,227.8,0.048167759793008004
148,52500,538.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3,405.2,739.9,6875.4,227.8,0.046663457488416875
149,55000,578.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3,405.2,739.9,6875.4,227.8,0.0526806667067814
150,57500,536.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3,405.2,739.9,6875.4,227.8,0.04636259702749865
151,60000,514.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3,405.2,739.9,6875.4,227.8,0.04305313195739816
152,62500,560.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3,405.2,739.9,6875.4,227.8,0.04997292255851736
153,65000,554.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3,405.2,739.9,6875.4,227.8,0.049070341175762686
154,67500,558.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3,405.2,739.9,6875.4,227.8,0.04967206209759913
155,70000,540.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3,405.2,739.9,6875.4,227.8,0.0469643179493351
156,72500,580.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3,405.2,739.9,6875.4,227.8,0.052981527167699626
157,75000,536.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3,405.2,739.9,6875.4,227.8,0.04636259702749865
158,77500,546.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3,405.2,739.9,6875.4,227.8,0.04786689933208978
159,80000,556.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3,405.2,739.9,6875.4,227.8,0.04937120163668091
160,2500,1.2,amidar,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,88.0,188.6,1675.8,5.8,-0.0027544910179640716
161,5000,46.2,amidar,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,88.0,188.6,1675.8,5.8,0.02419161676646707
162,7500,48.4,amidar,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,88.0,188.6,1675.8,5.8,0.025508982035928145
163,10000,69.4,amidar,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,88.0,188.6,1675.8,5.8,0.038083832335329346
164,12500,63.0,amidar,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,88.0,188.6,1675.8,5.8,0.03425149700598803
165,15000,80.8,amidar,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,88.0,188.6,1675.8,5.8,0.04491017964071856
166,17500,80.4,amidar,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,88.0,188.6,1675.8,5.8,0.044670658682634735
167,20000,86.4,amidar,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,88.0,188.6,1675.8,5.8,0.04826347305389222
168,22500,87.6,amidar,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,88.0,188.6,1675.8,5.8,0.04898203592814371
169,25000,100.0,amidar,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,88.0,188.6,1675.8,5.8,0.056407185628742515
170,27500,93.4,amidar,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,88.0,188.6,1675.8,5.8,0.052455089820359284
171,30000,105.4,amidar,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,88.0,188.6,1675.8,5.8,0.059640718562874256
172,32500,105.0,amidar,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,88.0,188.6,1675.8,5.8,0.05940119760479042
173,35000,100.4,amidar,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,88.0,188.6,1675.8,5.8,0.05664670658682635
